#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
30441	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Srinivasan V (2022)	35953531	238809	9953	Methyl 3,4-dihydroxybenzoate	Methyl 3,4-dihydroxybenzoate|Protocatechuic acid, methyl ester|Benzoic acid, 3,4-dihydroxy-, methyl ester|methyl esterprotocatechuic acid	-	CHEMSPIDER	253113	C8H8O4	small molecule	-	2150-43-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	CUFLZUDASVUNOE-UHFFFAOYSA-N
30442	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Grosse M (2022)	35891385	238812	8389	PR-619	2,6-diamino-5-(cyanothio)pyridin-3-yl thiocyanate|2,6-Diamino-3,5-pyridinediyl bis(thiocyanate)|Thiocyanic acid, 2,6-diamino-3,5-pyridinediyl ester	-	CHEMSPIDER	2096054	C7H5N5S2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	ZXOBLNBVNROVLC-UHFFFAOYSA-N
30443	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Grosse M (2022)	35891385	238812	8385	HBX 41,108	7-Chloro-9-oxo-9H-indeno[1,2-b]pyrazine-2,3-dicarbonitrile|9H-Indeno[1,2-b]pyrazine-2,3-dicarbonitrile, 7-chloro-9-oxo-	-	CHEMSPIDER	17225370	C13H3ClN4O	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	BIGPXXAUSQLTQR-UHFFFAOYSA-N
30444	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Zou Z (2022)	35866602	238813	9970	Parthenolide	Parthenolide|(1aR,4E,7aS,10aS,10bR)-1a,5-dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one|Oxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one, 2,3,6,7,7a,8,10a,10b-octahydro-1a,5-dimethyl-8-methylene-, (1aR,4E,7aS,10aS,10bR)-|(-)-Parthenolide|(1aR,4E,7aS,10aS,10bR)-1a,5-Dimethyl-8-methylene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one	-	CHEMSPIDER	4976071	C15H20O3	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	KTEXNACQROZXEV-PVLRGYAZSA-N
30445	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Shan H (2021)	33979649	239606	9942	GTPL11543	N-{3-FLUORO-5-[({1-[(1R)-1-(NAPHTHALEN-1-YL)ETHYL]PIPERIDIN-4-YL}FORMAMIDO)METHYL]PHENYL}-4-METHYLPIPERAZINE-1-CARBOXAMIDE|GTPL11543|COMPOUND 19 [PMID: 33979649]|N-{3-fluoro-5-[({1-[(1R)-1-(naphthalen-1-yl)ethyl]piperidin-4-yl}formamido)methyl]phenyl}-4-methylpiperazine-1-carboxamide	-	PUBCHEM	155925847	C31H38FN5O2	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	-
30446	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	9975	Asunaprevir	1,1-dimethylethyl [(1S)-1-{[(2S,4R)-4-(7-chloro-4methoxyisoquinolin-1-yloxy)-2-({(1R,2S)-1-[(cyclopropylsulfonyl)carbamoyl]-2-ethenylcyclopropyl}carbamoyl)pyrrolidin-1-yl]carbonyl}-2,2-dimethylpropyl]carbamate|Asunaprevir|Cyclopropanecarboxamide, N-[(1,1-dimethylethoxy)carbonyl]-3-methyl-L-valyl-(4R)-4-[(7-chloro-4-methoxy-1-isoquinolinyl)oxy]-L-prolyl-1-amino-N-(cyclopropylsulfonyl)-2-ethenyl-, (1R,2S)-|3-Methyl-N-{[(2-methyl-2-propanyl)oxy]carbonyl}-L-valyl-(4R)-4-[(7-chloro-4-methoxy-1-isoquinolinyl)oxy]-N-{(1R,2S)-1-[(cyclopropylsulfonyl)carbamoyl]-2-vinylcyclopropyl}-L-prolinamide|L-Prolinamide, N-[(1,1-dimethylethoxy)carbonyl]-3-methyl-L-valyl-4-[(7-chloro-4-methoxy-1-isoquinolinyl)oxy]-N-[(1R,2S)-1-[[(cyclopropylsulfonyl)amino]carbonyl]-2-ethenylcyclopropyl]-, (4R)-|UNII-S9X0KRJ00S|S9X0KRJ00S	-	CHEMSPIDER	17235944	C35H46ClN5O9S	small molecule	-	630420-16-5	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	XRWSZZJLZRKHHD-WVWIJVSJSA-N
30447	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	5547	Simeprevir	-	galexos|olysio	DRUGBANK	DB06290	C38H47N5O7S2	small molecule	J05AE14	923604-59-5	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	JTZZSQYMACOLNN-VDWJNHBNSA-N
30448	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	9976	Vaniprevir	Vaniprevir|Vaniprevirum|CV3X74AO1H	-	CHEMSPIDER	28475381	C38H55N5O9S	small molecule	-	923590-37-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	KUQWGLQLLVFLSM-ONAXAZCASA-N
30449	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	9965	Narlaprevir	Narlaprevir|2857LA2O07	-	CHEMSPIDER	10031710	C36H61N5O7S	small molecule	-	865466-24-6	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	RICZEKWVNZFTNZ-LFGITCQGSA-N
30450	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	8249	Grazoprevir	(1aR,5S,8S,10R,22aR)-5-tert-butyl-N-{(1R,2S)-1-[(cyclopropanesulfonyl)carbamoyl]-2-ethenylcyclopropyl}-14-methoxy-3,6-dioxo-1,1a,3,4,5,6,9,10,18,19,20,21,22,22a-tetradecahydro-8H-7,10-methanocyclopropa[18,19][1,10,3,6]dioxadiazacyclononadecino[11,12-b]quinoxaline-8-carboxamide|Grazoprevir|Grazoprevir anhydrous	zepatier	DRUGBANK	DB11575	C38H50N6O9S	small molecule	-	1350514-68-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	OBMNJSNZOWALQB-NCQNOWPTSA-N
30451	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	7617	Boceprevir	Victrelis|SCH 503034	victrelis triple|victrelis	DRUGBANK	DB08873	C27H45N5O5	small molecule	J05AE12	394730-60-0	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	LHHCSNFAOIFYRV-DOVBMPENSA-N
30452	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	5272	Telaprevir	(1S,3AR,6as)-(2S)-2-cyclohexyl-N-(pyrazinylcarbonyl)glycyl-3-methyl-L-valyl-N-((1S)-1-((cyclopropylamino)oxoacetyl)butyl)octahydrocyclopenta(c)pyrrole-1-carboxamide|MP-424|VX 950|Incivek|VX-950	incivek	DRUGBANK	DB05521	C36H53N7O6	small molecule	J05AE11	402957-28-2	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	BBAWEDCPNXPBQM-GDEBMMAJSA-N
30453	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	8041	Paritaprevir	(2R,6S,12Z,13aR,14aR,16aS)-N-(cyclopropanesulfonyl)-6-[(5-methylpyrazine-2-carbonyl)amino]-5,16-dioxo-2-[(phenanthridin-6-yl)oxy]-1,2,3,6,7,8,9,10,11,13a,14,15,16,16a-tetradecahydrocyclopropa[e]pyrrolo[1,2-a][1,4]diazacyclopentadecine-14a(5H)-carboxamide|Veruprevir	technivie|viekira pak|holkira 	DRUGBANK	DB09297	C40H43N7O7S	small molecule	J05AX67|J05AX66	1216941-48-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	UAUIUKWPKRJZJV-MDJGTQRPSA-N
30454	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	8249	Grazoprevir	(1aR,5S,8S,10R,22aR)-5-tert-butyl-N-{(1R,2S)-1-[(cyclopropanesulfonyl)carbamoyl]-2-ethenylcyclopropyl}-14-methoxy-3,6-dioxo-1,1a,3,4,5,6,9,10,18,19,20,21,22,22a-tetradecahydro-8H-7,10-methanocyclopropa[18,19][1,10,3,6]dioxadiazacyclononadecino[11,12-b]quinoxaline-8-carboxamide|Grazoprevir|Grazoprevir anhydrous	zepatier	DRUGBANK	DB11575	C38H50N6O9S	small molecule	-	1350514-68-9	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	OBMNJSNZOWALQB-NCQNOWPTSA-N
30455	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	5547	Simeprevir	-	galexos|olysio	DRUGBANK	DB06290	C38H47N5O7S2	small molecule	J05AE14	923604-59-5	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	JTZZSQYMACOLNN-VDWJNHBNSA-N
30456	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Bafna K (2021)	33984267	239607	9976	Vaniprevir	Vaniprevir|Vaniprevirum|CV3X74AO1H	-	CHEMSPIDER	28475381	C38H55N5O9S	small molecule	-	923590-37-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	KUQWGLQLLVFLSM-ONAXAZCASA-N
30457	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Drayman N (2021)	34285133	239608	9977	Masitinib	Benzamide, 4-[(4-methyl-1-piperazinyl)methyl]-N-[4-methyl-3-[[4-(3-pyridinyl)-2-thiazolyl]amino]phenyl]-|4-[(4-Methylpiperazin-1-yl)methyl]-N-(4-methyl-3-{[4-(pyridin-3-yl)-1,3-thiazol-2-yl]amino}phenyl)benzamide|Masitinib|N-(4-methyl-3-{[4-(pyridin-3-yl)-1,3-thiazol-2-yl]amino}phenyl)-4-[(4-methylpiperazin-1-yl)methyl]benzamide|4-[(4-Methyl-1-piperazinyl)methyl]-N-(4-methyl-3-{[4-(3-pyridinyl)-1,3-thiazol-2-yl]amino}phenyl)benzamide	-	CHEMSPIDER	8250179	C28H30N6OS	small molecule	-	790299-79-5	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	WJEOLQLKVOPQFV-UHFFFAOYSA-N
30458	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Logan A (2022)	888800000762	238022	9936	LMW-DS	Ibsolvmir|Dextran sulfate sodium	-	PUBCHEM	440234653	-	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Spike-Ace Interaction Inhibitor	-
30459	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Ma C (2020)	32541865	239609	7617	Boceprevir	Victrelis|SCH 503034	victrelis triple|victrelis	DRUGBANK	DB08873	C27H45N5O5	small molecule	J05AE12	394730-60-0	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	LHHCSNFAOIFYRV-DOVBMPENSA-N
30460	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Ma C (2020)	32541865	239609	9944	GC-376	BCP32603|GC-376; GC 376|GC376|(2S)-1-hydroxy-2-[[(2S)-4-methyl-2-(phenylmethoxycarbonylamino)pentanoyl]amino]-3-(2-oxopyrrolidin-3-yl)propane-1-sulfonate	-	PUBCHEM	146681255	C21H30N3O8S-	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	-
30461	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Ma C (2020)	32541865	239609	9967	Calpain Inhibitor II	Calpain inhibitor II|N-Acetyl-L-leucyl-N-[(2S)-4-(methylsulfanyl)-1-oxo-2-butanyl]-L-leucinamide|N-acetyl-L-leucyl-N-[(1S)-1-formyl-3-(methylthio)propyl]-L-leucinamide|SUAM-312|MFCD00065506|1D8SBU367Z|N-Acetyl-L-leucyl-N-[(2S)-4-(methylsulfanyl)-1-oxobutan-2-yl]-L-leucinamide|L-Leucinamide, N-acetyl-L-leucyl-N-[(1S)-1-formyl-3-(methylthio)propyl]-|N-Acetyl-L-leucyl-L-leucyl-L-methioninal	-	CHEMSPIDER	108711	C19H35N3O4S	small molecule	-	136632-32-1	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	RJWLAIMXRBDUMH-ULQDDVLXSA-N
30462	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Ma C (2020)	32541865	239609	9979	Calpain Inhibitor XII	Calpain Inhibitor XII|Carbamic acid, N-[1-[[[1-[1,2-dioxo-2-[(2-pyridinylmethyl)amino]ethyl]butyl]amino]carbonyl]-3-methylbutyl]-, phenylmethyl ester|N~2~-[(benzyloxy)carbonyl]-N-{1,2-dioxo-1-[(pyridin-2-ylmethyl)amino]hexan-3-yl}leucinamide|N~2~-[(Benzyloxy)carbonyl]-N-{1,2-dioxo-1-[(2-pyridinylmethyl)amino]-3-hexanyl}leucinamide	-	CHEMSPIDER	21396054	C26H34N4O5	small molecule	-	181769-57-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	PLVWMBFPIAQRHK-UHFFFAOYSA-N
30463	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Kitamura N (2022)	33891389	239610	9945	JUN8763A	N-([1,1'-BIPHENYL]-4-YL)-N-((R)-2-OXO-2-(((S)-1-PHENYLETHYL)AMINO)-1-(PYRIDIN-3-YL)ETHYL)FURAN-2-CARBOXAMIDE|GLXC-25592|X7V|JUN8-76-3A|N-([1,1'-BIPHENYL]-4-YL)-N-[(1R)-2-OXO-2-{[(1S)-1-PHENYLETHYL]AMINO}-1-(PYRIDIN-3-YL)ETHYL]FURAN-2-CARBOXAMIDE|JUN8763A|N-([1,1'-biphenyl]-4-yl)-N-[(1R)-2-oxo-2-{[(1S)-1-phenylethyl]amino}-1-(pyridin-3-yl)ethyl]furan-2-carboxamide|JUN8-76-3A	-	PUBCHEM	155289416	C32H27N3O3	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	-
30464	4383852	43740578	GU280_gp01_nsp3	nsp3	ORF1ab|ORF1ab-nsp3|SARS-CoV2 nsp3|SARS-CoV-2 nsp3|R1AB_SARS2|PRO_0000449621	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Campagna J (2022)	888800000722	237482	5530	Eltrombopag	Promacta|Eltrombopagum|Eltrombopag	revolade|promacta	DRUGBANK	DB06210	C25H22N4O4	small molecule	B02BX05	496775-61-2	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: PLPro inhibitor	XDXWLKQMMKQXPV-QYQHSDTDSA-N
30470	4383848	43740568	GU280_gp02	S	spike|SARS-CoV2 S|SARS-CoV2 spike|S protein|surface|SARS-CoV-2 spike|SARS-CoV-2 S|SPIKE_SARS2|PRO_0000449646	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Papp H (2022)	888800000685	237180	8302	Rucaparib	-	rubraca	DRUGBANK	DB12332	C19H18FN3O	small molecule	-	283173-50-2	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Spike-Ace Interaction Inhibitor	HMABYWSNWIZPAG-UHFFFAOYSA-N
30472	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Jochmans D (2023)	36625640	236293	9959	PF-00835231	1H-Indole-2-carboxamide, N-[(1S)-1-[[[(1S)-3-hydroxy-2-oxo-1-[[(3S)-2-oxo-3-pyrrolidinyl]methyl]propyl]amino]carbonyl]-3-methylbutyl]-4-methoxy-|N-[(2S)-1-({(2S)-4-Hydroxy-3-oxo-1-[(3S)-2-oxo-3-pyrrolidinyl]-2-butanyl}amino)-4-methyl-1-oxo-2-pentanyl]-4-methoxy-1H-indole-2-carboxamide	-	CHEMSPIDER	9736673	C24H32N4O6	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	QDIMHKWNHMVDJB-WBAXXEDZSA-N
30473	4383849	43740578	GU280_gp01	ORF1ab	ORF1ab polyprotein|1ab|SARS-CoV2 ORF1ab|SARS-CoV-2 ORF1ab|Replicase|R1AB_SARS2|PRO_0000449618	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Roy SS (2022)	888800000660	236299	469	Chlorpromazine	Chlorpromazine|Chloropromazine|Largactil|CPZ|N-(3-Dimethylaminopropyl)-3-chlorophenothiazine|Aminazine|Chlorpromados|Chlorpromazinum|Clorpromazina|Chlorderazin|3-(2-chloro-10H-Phenothiazin-10-yl)-N,N-dimethyl-1-propanamine|Contomin|3-(2-Chlorophenothiazin-10-yl)-N,N-dimethyl-propan-1-amine|Thorazine	chlorpromanyl 20 syr|chlorprom	DRUGBANK	DB00477	C17H19ClN2S	small molecule	N05AA01	50-53-3	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: ORF1 G4 binding	ZPEIMTDSQAKGNT-UHFFFAOYSA-N
30474	4383849	43740578	GU280_gp01	ORF1ab	ORF1ab polyprotein|1ab|SARS-CoV2 ORF1ab|SARS-CoV-2 ORF1ab|Replicase|R1AB_SARS2|PRO_0000449618	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Roy SS (2022)	888800000660	236299	425	Prochlorperazine	3-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)phenothiazine|Prochlorperazinum|Procloperazine|Prochlorpromazine|Prochlorprazine|3-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine|Prochlorpermazine|Capazine|Emetiral|Chloropernazine|2-Chloro-10-(3-(4-methyl-1-piperazinyl)propyl)phenothiazine|N-(gamma-(4'-Methylpiperazinyl-1')propyl)-3-chlorophenothiazine|Proclorperazina|Chlormeprazine|2-Chloro-10-(3-(1-methyl-4-piperazinyl)propyl)-phenothiazine|Prochlorperazin|Chloro-3 (N-methylpiperazinyl-3 propyl)-10 phenothiazine	prochlorperazine maleate|sando	DRUGBANK	DB00433	C20H24ClN3S	small molecule	N05AB04	58-38-8	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct: ORF1 G4 binding	WIKYUJGCLQQFNW-UHFFFAOYSA-N
30475	4383854	43740578	GU280_gp01_nsp5	nsp5	ORF1ab|ORF1ab-nsp5|SARS-CoV2 nsp5|SARS-CoV-2 nsp5|Mpro|3CLpro|3C-like proteinase|R1AB_SARS2|PRO_0000449623	2697049	Severe acute respiratory syndrome coronavirus 2	inhibitor	target	Hirose Y (2022)	36229406	236284	9946	8a (YH-6)	8a (YH-6)|4-fluoro-N-[(2S)-1-[2-(2-fluoroacetyl)-2-[[(3S)-2-oxopyrrolidin-3-yl]methyl]hydrazinyl]-4-methyl-1-oxopentan-2-yl]-1H-indole-2-carboxamide	-	PUBCHEM	165416578	C22H27F2N5O4	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	-
30476	4383943	1489680	SARS-CoV-1ab-nsp5ab	nsp5ab	nsp5|sars1ab|orf1ab|SARS-CoV nsp5ab|SARS-CoV nsp5|SARS-CoV sars1ab|orf1ab-nsp5|orf1ab-nsp5ab|pp1ab|3C-like proteinase|3CL-PRO|3CLp|R1AB_CVHSA|PRO_0000037312	694009	Severe acute respiratory syndrome-related coronavirus	inhibitor	target	Hirose Y (2022)	36229406	236284	9946	8a (YH-6)	8a (YH-6)|4-fluoro-N-[(2S)-1-[2-(2-fluoroacetyl)-2-[[(3S)-2-oxopyrrolidin-3-yl]methyl]hydrazinyl]-4-methyl-1-oxopentan-2-yl]-1H-indole-2-carboxamide	-	PUBCHEM	165416578	C22H27F2N5O4	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	-
30477	4383890	14254602	G128_gp01ab_nsp5	nsp5ab	ORF1ab|nsp5|rep|1AB|MERS-CoV nsp5|orf1ab-nsp5|orf1ab-nsp5ab|nsp5ab|3C-like proteinase|R1AB_CVEMC|PRO_0000422443	1335626	Middle-East Respiratory Syndrome-related Coronavirus	inhibitor	target	Hirose Y (2022)	36229406	236284	9946	8a (YH-6)	8a (YH-6)|4-fluoro-N-[(2S)-1-[2-(2-fluoroacetyl)-2-[[(3S)-2-oxopyrrolidin-3-yl]methyl]hydrazinyl]-4-methyl-1-oxopentan-2-yl]-1H-indole-2-carboxamide	-	PUBCHEM	165416578	C22H27F2N5O4	small molecule	-	-	BIOGRID	-	-	-	-	-	-	-	-	-	-	Direct; Viral Mpro/3CLpro protease inhibitor	-
